time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes:mean,jvm:non-heap-bytes:mean,jvm:direct-bytes:mean,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics:name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics:name=TotalFetchRequestsPerSec
14600.0,15.0,1384.0,2.88826968E8,3.0098416E8,8.40550649E8,9.16522348E8,0.742633728676583,34.0,182975.0,5381.617647058823,9.79369984E8,1834.0
14700.0,15.0,1384.0,3.02129344E8,3.00984864E8,8.40550649E8,9.16522348E8,0.7409990410600645,34.0,182975.0,5381.617647058823,9.79369984E8,1834.0
14800.0,15.0,1460.0,3.37544544E8,3.01007192E8,8.40550649E8,9.16522348E8,0.7601589818213409,35.0,182975.0,5381.617647058823,9.81467136E8,1836.0
14900.0,15.0,1460.0,3.21958792E8,3.01000976E8,8.40550649E8,9.16522348E8,0.7594332458176926,35.0,182975.0,5381.617647058823,9.81467136E8,1836.0
15000.0,16.0,1460.0,2.88240064E8,3.00937216E8,8.40701367E8,9.70434249E8,0.7781596524220219,36.0,193738.0,5381.611111111111,1.033895936E9,1936.0
15100.0,16.0,1463.0,2.88555768E8,3.00940976E8,8.40701367E8,9.70434249E8,0.7778233908778601,36.0,193738.0,5381.611111111111,1.033895936E9,1936.0
15200.0,16.0,1463.0,3.09807024E8,3.0094424E8,8.40701367E8,9.70434249E8,0.7975856865703815,37.0,193738.0,5381.611111111111,1.033895936E9,1938.0
15300.0,16.0,1463.0,3.17368136E8,3.00945328E8,8.40701367E8,9.70434249E8,0.7959556846294503,37.0,193738.0,5381.611111111111,1.035993088E9,1938.0
15400.0,16.0,1532.0,3.47983488E8,3.0095104E8,8.40701367E8,1.024351139E9,0.8148386405060577,38.0,204502.0,5381.631578947368,1.088421888E9,2038.0
15500.0,17.0,1532.0,2.51490584E8,3.0095104E8,8.40701367E8,1.024351139E9,0.814000814000814,38.0,204502.0,5381.631578947368,1.088421888E9,2038.0
15600.0,17.0,1534.0,2.41889376E8,3.00952704E8,8.40701367E8,1.024351139E9,0.8122435020519836,38.0,204502.0,5381.631578947368,1.088421888E9,2038.0
15700.0,17.0,1534.0,2.38127984E8,3.00953536E8,8.40701367E8,1.024351139E9,0.8316806346362996,39.0,204502.0,5381.631578947368,1.09051904E9,2040.0
15800.0,17.0,1598.0,2.41134472E8,3.009556E8,8.40701367E8,1.024351139E9,0.8295577818901155,39.0,204502.0,5381.631578947368,1.09051904E9,2040.0
15900.0,17.0,1598.0,2.92825928E8,3.00959632E8,8.40701367E8,1.078268015E9,0.8481944061578914,40.0,215266.0,5381.65,1.14294784E9,2140.0
16000.0,18.0,1603.0,2.40834944E8,3.00985104E8,8.40701367E8,1.078268015E9,0.8477629654748532,40.0,215266.0,5381.65,1.14294784E9,2140.0
16100.0,18.0,1603.0,2.96568632E8,3.00986384E8,8.40701367E8,1.078268015E9,0.8670825843290685,41.0,215266.0,5381.65,1.145044992E9,2142.0
16200.0,18.0,1603.0,2.86537648E8,3.00992936E8,8.40701367E8,1.132179882E9,0.8863190326460844,42.0,226029.0,5381.642857142857,1.145044992E9,2142.0
16300.0,18.0,1674.0,2.88171688E8,3.00992936E8,8.62393651E8,1.132179882E9,0.8830950378469301,42.0,226029.0,5381.642857142857,1.197473792E9,2242.0
