time-ms,jvm:gc-count,jvm:gc-time-ms,jvm:heap-bytes,jvm:non-heap-bytes,jvm:direct-bytes,kafka-consumer:bytes-consumed-total,kafka-consumer:fetch-rate,kafka-consumer:fetch-total,kafka-consumer:records-consumed-total,kafka-consumer:records-per-request-avg,broker:kafka.server:type=BrokerTopicMetrics-name=BytesOutPerSec,broker:kafka.server:type=BrokerTopicMetrics-name=TotalFetchRequestsPerSec
15000.0,23.0,1660.0,6.78180408E8,3.22376336E8,8.58549599E8,1.492251595E9,2.000307739652254,91.0,297914.0,3310.1555555555556,2.507145216E9,4736.0
15100.0,23.0,1723.0,7.03906576E8,3.22376336E8,8.58549599E8,1.521874821E9,2.013349381770434,92.0,303828.0,3302.478260869565,2.559574016E9,4836.0
15200.0,24.0,1723.0,4.417538E8,3.22389648E8,8.58549599E8,1.521874821E9,2.030745043235217,93.0,303828.0,3302.478260869565,2.559574016E9,4836.0
15300.0,24.0,1723.0,4.85537832E8,3.2239112E8,8.5855241E8,1.546484038E9,2.046592640975397,94.0,308741.0,3284.478723404255,2.614099968E9,4942.0
15400.0,24.0,1726.0,5.4165552E8,3.22396384E8,8.5855241E8,1.546484038E9,2.0656215346480833,95.0,308741.0,3284.478723404255,2.61619712E9,4948.0
15500.0,24.0,1726.0,5.43369288E8,3.22432152E8,8.82980568E8,1.583610748E9,2.0829265117490072,96.0,316153.0,3293.2604166666665,2.66862592E9,5048.0
15600.0,24.0,1726.0,5.45092256E8,3.22441216E8,8.82980568E8,1.583610748E9,2.0783719419787836,96.0,316153.0,3293.2604166666665,2.66862592E9,5048.0
15700.0,24.0,1726.0,5.77414976E8,3.22441216E8,8.82980568E8,1.583610748E9,2.095303927074783,97.0,316153.0,3293.2604166666665,2.670723072E9,5054.0
15800.0,24.0,1726.0,6.00154528E8,3.22464976E8,8.82980568E8,1.625751465E9,2.1322880096491414,99.0,324566.0,3311.8979591836733,2.723151872E9,5154.0
15900.0,24.0,1726.0,5.98450072E8,3.2247048E8,8.82980568E8,1.660814465E9,2.129444408595212,99.0,331566.0,3349.151515151515,2.725249024E9,5160.0
16000.0,24.0,1726.0,6.6380248E8,3.225042E8,8.82980568E8,1.662888191E9,2.1665451113303873,101.0,331980.0,3319.8,2.777677824E9,5260.0
